Step	PotentialEnergy	Width	Height	Area
0	-113.988805	18.7026	18.9460	354.3400
1	-114.411185	18.6402	18.9173	352.6231
2	-115.277702	18.5151	18.8600	349.1951
3	-116.642049	18.3256	18.7742	344.0481
4	-118.584953	18.0688	18.6621	337.2032
5	-121.144990	17.7397	18.5521	329.1073
6	-123.326367	17.4799	18.4227	322.0256
7	-126.019917	17.1841	18.3562	315.4361
8	-129.031787	16.8373	18.2809	307.8024
9	-131.005835	16.5886	18.1967	301.8578
10	-133.360058	16.3155	18.1034	295.3656
11	-135.966017	16.0122	18.0008	288.2324
12	-138.213980	15.7065	17.8887	280.9697
13	-140.870906	15.3680	17.7670	273.0430
14	-144.022127	14.9940	17.6354	264.4264
15	-147.775650	14.5922	17.4937	255.2711
16	-152.300475	14.2256	17.3415	246.6935
17	-157.852478	13.8272	17.1786	237.5315
18	-164.368296	13.3937	17.0045	227.7539
19	-171.509705	12.9293	16.8189	217.4563
20	-178.159217	12.5021	16.6213	207.8006
21	-184.266282	12.2428	16.4112	200.9196
22	-190.215727	11.8921	16.1880	192.5089
23	-196.298007	11.5909	15.9510	184.8862
24	-203.465733	11.2495	15.6992	176.6079
25	-211.918491	10.8676	15.4316	167.7050
26	-223.199016	10.4434	15.1472	158.1877
27	-234.392485	10.0081	14.8443	148.5634
28	-244.499234	9.6690	14.5216	140.4090
29	-250.445304	9.3310	14.1771	132.2865
30	-254.718207	8.9903	13.8092	124.1490
31	-258.492229	8.6970	13.6003	118.2820
32	-261.846083	8.4132	13.4039	112.7695
33	-265.984826	8.2383	13.1925	108.6842
34	-271.105191	8.1686	12.9651	105.9070
35	-277.211761	8.1004	12.7213	103.0478
36	-281.821010	8.1564	12.4615	101.6406
37	-283.160148	8.1806	12.1856	99.6858
38	-283.395042	8.2240	11.8931	97.8088
39	-284.291209	8.2667	11.5833	95.7560
40	-283.653409	8.2868	11.2556	93.2723
41	-283.404242	8.2803	10.9083	90.3245
42	-283.606994	8.2636	10.5398	87.0975
43	-284.233445	8.2375	10.2087	84.0936
44	-284.717842	8.2381	9.9177	81.7024
45	-285.405633	8.2066	9.6332	79.0556
46	-286.233481	8.1773	9.3578	76.5212
47	-286.899583	8.1714	9.1914	75.1060
48	-287.508255	8.1571	9.0422	73.7585
49	-287.976159	8.1843	8.8844	72.7128
50	-288.244273	8.2019	8.7290	71.5940
51	-288.458166	8.1778	8.5658	70.0491
52	-288.611663	8.1909	8.4356	69.0948
53	-288.633289	8.2063	8.4187	69.0865
54	-288.758906	8.2247	8.4045	69.1237
