radius=1.69 x=6.7899 y=6.5823
radius=1.26 x=13.5805 y=12.5362
radius=1.96 x=12.2973 y=18.7807
radius=2.33 x=20.4620 y=21.9868
radius=1.18 x=9.1933 y=4.1563
radius=2.19 x=18.2466 y=15.6311
radius=1.03 x=14.2348 y=22.0630
radius=1.08 x=19.5244 y=11.2954
radius=2.47 x=15.3275 y=5.3069
radius=2.23 x=5.5901 y=12.5875
radius=2.16 x=21.0455 y=6.9241
radius=0.79 x=10.7757 y=2.9642
radius=2.37 x=7.2179 y=17.6644
radius=0.69 x=19.8527 y=2.5618
radius=1.04 x=22.3459 y=9.8732
Parameters: N=15 T=500 dt=0.1000 drag=0.0100
