radius=0.89 x=7.8844 y=21.4346
radius=1.05 x=7.1503 y=18.1829
radius=1.33 x=22.4598 y=9.3886
radius=1.30 x=13.0718 y=16.2916
radius=1.43 x=6.4288 y=10.9403
radius=0.66 x=18.0054 y=12.0645
radius=1.04 x=16.6456 y=5.5073
radius=0.98 x=13.3995 y=13.8723
radius=1.28 x=18.2940 y=21.0374
radius=2.17 x=13.4207 y=6.0238
radius=0.31 x=16.8813 y=14.3682
radius=1.90 x=20.2954 y=3.6711
radius=1.67 x=10.5545 y=12.4614
radius=1.18 x=15.3430 y=17.8130
radius=0.36 x=4.6739 y=20.3809
Parameters: N=15 T=500 dt=0.1000 drag=0.0100
