Step	PotentialEnergy	Width	Height	Area
0	-5623.672772	25.0000	25.0000	625.0000
1	-5634.944632	25.0000	25.0000	625.0000
2	-5657.533989	25.0000	25.0000	625.0000
3	-5691.216914	25.0000	25.0000	625.0000
4	-5736.011877	25.0000	25.0000	625.0000
5	-5792.231237	25.0000	25.0000	625.0000
6	-5859.995800	25.0000	25.0000	625.0000
7	-5939.671467	25.0000	25.0000	625.0000
8	-6030.779139	25.0000	25.0000	625.0000
9	-6134.884776	25.0000	25.0000	625.0000
10	-6251.330205	25.0000	25.0000	625.0000
11	-6382.569454	25.0000	25.0000	625.0000
12	-6529.243120	25.0000	25.0000	625.0000
13	-6691.546417	25.0000	25.0000	625.0000
14	-6866.146155	25.0000	25.0000	625.0000
15	-7054.748362	25.0000	25.0000	625.0000
16	-7259.394499	25.0000	25.0000	625.0000
17	-7478.750688	25.0000	25.0000	625.0000
18	-7717.799872	25.0000	25.0000	625.0000
19	-7976.321322	25.0000	25.0000	625.0000
20	-8253.411768	25.0000	25.0000	625.0000
21	-8535.818042	25.0000	25.0000	625.0000
22	-8844.916269	25.0000	25.0000	625.0000
23	-9160.787645	25.0000	25.0000	625.0000
24	-9559.817410	25.0000	25.0000	625.0000
25	-10079.637005	25.0000	25.0000	625.0000
26	-10404.162212	25.0000	25.0000	625.0000
27	-10244.200911	25.0000	25.0000	625.0000
28	-10637.171246	25.0000	25.0000	625.0000
29	-11292.506191	25.0000	25.0000	625.0000
30	-11179.275204	25.0000	25.0000	625.0000
31	-10389.702107	25.0000	25.0000	625.0000
32	-10386.446816	25.0000	25.0000	625.0000
33	-10537.178037	25.0000	25.0000	625.0000
34	-10774.561618	25.0000	25.0000	625.0000
35	-10975.103620	25.0000	25.0000	625.0000
36	-11432.064971	25.0000	25.0000	625.0000
37	-11366.231941	25.0000	25.0000	625.0000
38	-11735.037326	25.0000	25.0000	625.0000
39	-11848.964660	25.0000	25.0000	625.0000
40	-12019.140817	25.0000	25.0000	625.0000
41	-11978.532488	25.0000	25.0000	625.0000
42	-12036.463367	25.0000	25.0000	625.0000
43	-12101.486345	25.0000	25.0000	625.0000
44	-12240.008333	25.0000	25.0000	625.0000
45	-12142.646783	25.0000	25.0000	625.0000
46	-12264.881970	25.0000	25.0000	625.0000
47	-12301.129221	25.0000	25.0000	625.0000
48	-12372.247036	25.0000	25.0000	625.0000
49	-12233.271802	25.0000	25.0000	625.0000
50	-12248.592932	25.0000	25.0000	625.0000
51	-12257.011403	25.0000	25.0000	625.0000
52	-12331.396628	25.0000	25.0000	625.0000
53	-12533.516767	25.0000	25.0000	625.0000
54	-12224.690532	25.0000	25.0000	625.0000
55	-12390.068220	25.0000	25.0000	625.0000
56	-12393.604661	25.0000	25.0000	625.0000
57	-13210.693299	25.0000	25.0000	625.0000
58	-13083.984919	25.0000	25.0000	625.0000
59	-12583.124209	25.0000	25.0000	625.0000
60	-12705.054839	25.0000	25.0000	625.0000
61	-12859.377212	25.0000	25.0000	625.0000
62	-12932.287002	25.0000	25.0000	625.0000
63	-12800.336890	25.0000	25.0000	625.0000
64	-13002.465739	25.0000	25.0000	625.0000
65	-12989.157458	25.0000	25.0000	625.0000
66	-12697.137330	25.0000	25.0000	625.0000
67	-13118.075419	25.0000	25.0000	625.0000
68	-13363.044848	25.0000	25.0000	625.0000
69	-12976.430880	25.0000	25.0000	625.0000
70	-13044.577427	25.0000	25.0000	625.0000
71	-13494.835363	25.0000	25.0000	625.0000
72	-13221.801899	25.0000	25.0000	625.0000
73	-13243.357359	25.0000	25.0000	625.0000
74	-13551.007791	25.0000	25.0000	625.0000
75	-13299.456175	25.0000	25.0000	625.0000
76	-13463.830937	25.0000	25.0000	625.0000
77	-13434.132687	25.0000	25.0000	625.0000
78	-13464.245731	25.0000	25.0000	625.0000
79	-13929.234374	25.0000	25.0000	625.0000
80	-14054.641100	25.0000	25.0000	625.0000
81	-13877.292706	25.0000	25.0000	625.0000
82	-13430.584673	25.0000	25.0000	625.0000
83	-13499.703927	25.0000	25.0000	625.0000
84	-13684.961831	25.0000	25.0000	625.0000
85	-13694.160214	25.0000	25.0000	625.0000
86	-13564.190741	25.0000	25.0000	625.0000
87	-14201.741787	25.0000	25.0000	625.0000
88	-13999.742821	25.0000	25.0000	625.0000
89	-13233.544385	25.0000	25.0000	625.0000
90	-14281.434531	25.0000	25.0000	625.0000
91	-13502.952911	25.0000	25.0000	625.0000
92	-13630.306136	25.0000	25.0000	625.0000
93	-13488.663128	25.0000	25.0000	625.0000
94	-13157.272241	25.0000	25.0000	625.0000
95	-13420.928830	25.0000	25.0000	625.0000
96	-13724.135887	25.0000	25.0000	625.0000
97	-13502.103216	25.0000	25.0000	625.0000
98	-13434.732325	25.0000	25.0000	625.0000
99	-13498.691450	25.0000	25.0000	625.0000
100	-13545.092176	25.0000	25.0000	625.0000
101	-13820.597544	25.0000	25.0000	625.0000
102	-13359.709600	25.0000	25.0000	625.0000
103	-12953.396476	25.0000	25.0000	625.0000
104	-13308.519904	25.0000	25.0000	625.0000
105	-13304.538126	25.0000	25.0000	625.0000
106	-13534.907513	25.0000	25.0000	625.0000
107	-13676.933231	25.0000	25.0000	625.0000
108	-14023.797824	25.0000	25.0000	625.0000
109	-13528.476154	25.0000	25.0000	625.0000
110	-13092.867355	25.0000	25.0000	625.0000
111	-13319.947759	25.0000	25.0000	625.0000
112	-14063.075148	25.0000	25.0000	625.0000
113	-13393.023519	25.0000	25.0000	625.0000
114	-13909.961653	25.0000	25.0000	625.0000
115	-13561.938205	25.0000	25.0000	625.0000
116	-13650.552227	25.0000	25.0000	625.0000
117	-13267.169178	25.0000	25.0000	625.0000
118	-13916.378254	25.0000	25.0000	625.0000
119	-13639.928640	25.0000	25.0000	625.0000
120	-13847.301703	25.0000	25.0000	625.0000
121	-13893.867116	25.0000	25.0000	625.0000
122	-13420.839403	25.0000	25.0000	625.0000
123	-13493.864556	25.0000	25.0000	625.0000
124	-13474.991210	25.0000	25.0000	625.0000
