radius=1.44 x=8.6352 y=1.2667
radius=1.17 x=2.8422 y=23.7700
radius=0.81 x=4.9524 y=-0.0751
radius=0.40 x=2.6988 y=1.7388
radius=1.01 x=1.9839 y=7.4138
radius=1.18 x=4.0114 y=4.0711
radius=0.78 x=1.3434 y=-0.7296
radius=0.44 x=-0.4060 y=1.6801
radius=0.20 x=1.8557 y=1.6639
radius=0.81 x=1.6934 y=-0.8054
radius=0.73 x=-0.6791 y=3.0071
radius=0.28 x=1.8850 y=1.8079
radius=1.22 x=3.6485 y=8.5979
radius=0.68 x=-0.5788 y=0.2164
radius=0.77 x=2.2771 y=2.1624
radius=1.04 x=2.3259 y=2.4060
radius=0.15 x=1.4815 y=1.5545
radius=0.31 x=-0.2944 y=1.4216
radius=1.09 x=4.0918 y=2.7387
radius=0.13 x=1.4635 y=1.5219
radius=0.32 x=1.9056 y=2.1753
radius=0.99 x=0.5772 y=7.6041
radius=0.21 x=1.5059 y=1.5511
radius=0.62 x=-0.9706 y=2.7043
radius=1.07 x=-0.6733 y=4.3638
radius=1.07 x=2.6584 y=2.2174
radius=0.03 x=1.2679 y=1.2647
radius=0.22 x=1.4560 y=1.4685
radius=0.64 x=24.3633 y=24.3633
radius=0.39 x=1.5121 y=1.4522
radius=0.44 x=0.1173 y=25.0721
radius=1.08 x=7.5610 y=2.3115
radius=0.10 x=1.1162 y=1.2410
radius=0.86 x=2.7156 y=-0.8916
radius=0.40 x=1.7935 y=1.1245
radius=0.65 x=2.4081 y=1.8963
radius=1.16 x=5.8967 y=1.3353
radius=0.45 x=-0.4110 y=1.4265
radius=0.45 x=-0.3973 y=1.6001
radius=1.00 x=3.0624 y=4.5564
radius=0.64 x=-0.6448 y=0.2839
radius=0.85 x=2.7198 y=6.4382
radius=1.16 x=-0.3665 y=5.1271
radius=1.12 x=5.6837 y=1.0174
radius=0.29 x=-0.3294 y=1.9802
radius=0.49 x=1.9644 y=1.8543
radius=0.99 x=1.8937 y=6.9299
radius=0.79 x=3.0156 y=5.8631
radius=0.44 x=0.1806 y=24.9827
radius=0.35 x=1.7229 y=1.7718
radius=1.18 x=5.3970 y=4.9920
radius=0.09 x=0.2211 y=1.6995
radius=0.10 x=2.4882 y=3.0507
radius=0.07 x=1.1162 y=1.1881
radius=0.45 x=1.5928 y=1.0507
radius=0.46 x=2.1526 y=2.5518
radius=0.55 x=1.3418 y=24.9436
radius=0.81 x=-0.6395 y=23.3697
radius=1.43 x=1.5438 y=20.1495
radius=0.15 x=1.5378 y=1.4867
radius=0.52 x=-0.3897 y=1.6372
radius=0.62 x=0.1738 y=21.7709
radius=0.72 x=0.8021 y=5.7078
radius=0.72 x=-0.1580 y=4.2731
radius=0.43 x=1.5020 y=1.1810
radius=0.64 x=2.0178 y=0.6647
radius=1.00 x=3.9572 y=6.8705
radius=0.66 x=-0.7722 y=2.3336
radius=1.23 x=5.8514 y=5.7348
radius=0.29 x=-0.0100 y=1.7341
radius=0.93 x=1.9422 y=24.4056
radius=0.81 x=2.0222 y=4.8557
radius=0.77 x=0.8350 y=5.7870
radius=0.64 x=2.0169 y=1.7638
radius=0.37 x=1.5714 y=1.4456
radius=1.14 x=5.9730 y=3.0758
radius=0.69 x=1.4700 y=-0.8290
radius=0.90 x=3.3598 y=3.9678
radius=0.06 x=1.2476 y=1.7241
radius=0.33 x=-0.0837 y=1.7008
radius=0.04 x=-0.0836 y=0.1680
radius=0.93 x=3.6532 y=4.4810
radius=0.91 x=2.6382 y=2.5901
radius=0.03 x=1.3984 y=2.8484
radius=1.42 x=1.3313 y=9.8839
radius=0.27 x=0.1231 y=1.7406
radius=0.13 x=1.1619 y=1.1128
radius=0.54 x=-0.3905 y=4.0612
radius=0.82 x=0.9515 y=5.7277
radius=0.02 x=0.3012 y=1.6613
radius=0.42 x=1.6195 y=2.9386
radius=0.03 x=0.2614 y=1.7038
radius=0.20 x=0.1882 y=1.6311
radius=0.08 x=0.5128 y=1.3783
radius=0.77 x=-1.1363 y=2.1536
radius=1.01 x=4.5842 y=0.8897
radius=0.75 x=-0.5552 y=3.4671
radius=0.06 x=0.2788 y=2.4376
radius=0.60 x=-0.6372 y=0.7583
radius=1.13 x=2.7680 y=5.0075
radius=0.50 x=0.7387 y=3.3156
radius=0.31 x=1.0727 y=2.3030
radius=0.10 x=0.3441 y=2.4089
radius=0.22 x=1.0032 y=1.0275
radius=0.62 x=-0.1143 y=-0.4832
radius=0.79 x=0.4373 y=4.4469
radius=0.14 x=1.0910 y=0.5035
radius=0.15 x=0.3584 y=2.4167
radius=0.46 x=1.7632 y=1.3422
radius=0.04 x=0.2357 y=1.9054
radius=0.22 x=0.2501 y=2.4115
radius=0.07 x=0.3121 y=2.3344
radius=0.01 x=0.7496 y=2.3044
radius=1.42 x=5.4534 y=5.5822
radius=0.26 x=0.1453 y=1.6351
radius=0.39 x=1.6666 y=1.7256
radius=0.40 x=1.2730 y=2.3945
radius=0.26 x=-0.1307 y=1.2587
radius=0.08 x=0.9946 y=1.3375
radius=0.46 x=-0.1931 y=1.8861
radius=0.31 x=2.0904 y=1.2913
radius=0.63 x=1.5075 y=0.7939
radius=0.49 x=-0.2739 y=1.0424
radius=0.96 x=5.9441 y=2.5774
radius=0.94 x=3.0166 y=0.4859
radius=0.74 x=1.5956 y=4.1508
radius=0.57 x=0.4629 y=0.2263
radius=0.32 x=0.7928 y=0.9017
radius=0.29 x=0.5830 y=0.9567
radius=0.01 x=0.8956 y=2.5805
radius=0.11 x=0.5349 y=0.7937
radius=0.15 x=0.3313 y=3.4013
radius=0.05 x=0.8287 y=0.6496
radius=0.99 x=1.3907 y=22.0032
radius=0.18 x=0.2131 y=1.2014
radius=0.12 x=0.7221 y=1.3919
radius=0.39 x=1.5254 y=2.0286
radius=0.25 x=0.2963 y=2.3285
radius=0.69 x=4.3163 y=3.5209
radius=0.73 x=4.2700 y=2.1555
radius=0.04 x=0.1224 y=1.3683
radius=0.31 x=0.8847 y=1.5511
radius=1.06 x=2.5631 y=2.6812
radius=0.86 x=0.3926 y=23.5516
radius=0.08 x=0.4315 y=2.3559
radius=0.54 x=0.9879 y=2.0348
radius=0.20 x=0.1842 y=1.4446
radius=0.93 x=1.4835 y=-0.8706
radius=0.34 x=0.6295 y=2.8225
radius=0.24 x=0.5548 y=1.4916
